"","Place","Fish","Rep","Fish.wt","Fish.lt","Oto.wd","Oto.lt","Oto.wt","Ca","Sr","Ba","Mn","Zn","K","Pb","Cu"
"225","SKN",25,3,28.7,13.6,4.2,7.5,0.055,-0.682300084905579,-0.00656924061219031,0.451767025586235,1.40612875147604,0.578417181515274,1.27261749361956,-1.25556831530612,0.56237883003511
"226","SKN",26,1,29.4,13.2,4,6.7,0.0389,0.714107138323473,-0.520683723305383,-0.351771162215369,-0.589953072385848,-0.57329844539567,-0.142100569939733,1.14360680948264,-0.156571378816593
"227","SKN",26,2,29.4,13.2,4,6.7,0.0389,0.452280783968011,0.250488000734405,-1.15530935001697,0.408087839545098,0.578417181515274,-0.707987795363453,1.14360680948264,-0.875521587668297
"228","SKN",26,3,29.4,13.2,4,6.7,0.0389,-0.158647376194654,-0.135097861285489,-0.673186437336011,1.40612875147604,4.03356406224811,-0.990931408075312,1.14360680948264,2.00027924773852
"229","SKN",27,1,19.7,11.8,3.7,6.3,0.0347,0.452280783968011,-0.00656924061219031,-0.351771162215369,-0.589953072385848,0.578417181515274,-0.707987795363453,-0.0559807529117377,-0.156571378816593
"230","SKN",27,2,19.7,11.8,3.7,6.3,0.0347,0.365005332516272,0.379016621407704,-0.833894074896331,-0.589953072385848,-0.57329844539567,-0.707987795363453,1.14360680948264,0.56237883003511
"231","SKN",27,3,19.7,11.8,3.7,6.3,0.0347,0.190454429612548,0.6360738627543,-1.47672462513761,2.40416966340699,0.578417181515274,-0.707987795363453,2.34319437187702,1.28132903888681
"232","SKN",28,1,28.9,13.4,4.2,6.9,0.0469,0.103178978160809,-0.263626481958787,0.773182300706877,0.408087839545098,-0.57329844539567,-0.707987795363453,-0.0559807529117377,-0.156571378816593
"233","SKN",28,2,28.9,13.4,4.2,6.9,0.0469,0.015903526708947,-0.135097861285489,-0.0303558870947272,1.40612875147604,-0.57329844539567,-0.142100569939733,-0.0559807529117377,1.28132903888681
"234","SKN",28,3,28.9,13.4,4.2,6.9,0.0469,0.190454429612548,0.379016621407704,-0.833894074896331,-0.589953072385848,0.578417181515274,-0.425044182651593,-0.0559807529117377,1.28132903888681
"235","SKN",29,1,25,12.6,3.8,6.6,0.0377,0.801382589775336,-0.520683723305383,-0.0303558870947272,-0.589953072385848,-0.57329844539567,-0.425044182651593,-0.0559807529117377,-1.59447179652
"236","SKN",29,2,25,12.6,3.8,6.6,0.0377,0.714107138323473,-1.03479820599858,-0.351771162215369,1.40612875147604,-0.57329844539567,0.140843042772126,-0.0559807529117377,1.28132903888681
"237","SKN",29,3,25,12.6,3.8,6.6,0.0377,0.626831686871735,-0.392155102632085,-0.994601712456652,0.408087839545098,0.578417181515274,-0.707987795363453,1.14360680948264,2.00027924773852
"238","SKN",30,1,18.7,11.6,3.8,6.2,0.0312,0.103178978160809,-0.520683723305383,0.291059388025914,1.40612875147604,-0.57329844539567,0.140843042772126,-0.0559807529117377,-0.156571378816593
"239","SKN",30,2,18.7,11.6,3.8,6.2,0.0312,-0.333198279098254,1.15018834544749,-0.0303558870947272,-0.589953072385848,-0.57329844539567,-0.142100569939733,-1.25556831530612,-1.59447179652
"240","SKN",30,3,18.7,11.6,3.8,6.2,0.0312,-0.595024633453717,0.250488000734405,0.130351750465594,1.40612875147604,0.578417181515274,1.27261749361956,-1.25556831530612,-0.875521587668297
"241","SKN",31,1,29.2,13.6,4.2,7,0.0495,0.452280783968011,-0.135097861285489,-0.51247879977569,-0.589953072385848,-0.57329844539567,0.423786655483985,-0.0559807529117377,-0.875521587668297
"242","SKN",31,2,29.2,13.6,4.2,7,0.0495,-0.682300084905579,0.893131104100896,0.291059388025914,-0.589953072385848,-0.57329844539567,0.706730268195845,-2.4551558777005,-0.156571378816593
"243","SKN",31,3,29.2,13.6,4.2,7,0.0495,-0.158647376194654,1.02165972477419,-1.31601698757729,0.408087839545098,-0.57329844539567,0.423786655483985,-0.0559807529117377,0.56237883003511
"244","SKN",32,1,18.7,11.8,3.8,6.4,0.0372,0.103178978160809,-0.135097861285489,-0.0303558870947272,-1.58799398431679,0.578417181515274,0.423786655483985,-0.0559807529117377,-0.156571378816593
"245","SKN",32,2,18.7,11.8,3.8,6.4,0.0372,-0.507749182001979,0.893131104100896,-0.191063524655048,-0.589953072385848,-0.57329844539567,0.423786655483985,-0.0559807529117377,-0.875521587668297
"246","SKN",32,3,18.7,11.8,3.8,6.4,0.0372,-1.20595279361651,1.66430282814068,0.933889938267198,-1.58799398431679,0.578417181515274,-0.707987795363453,-0.0559807529117377,-0.875521587668297
"247","SKN",33,1,33.8,13.8,4.2,7.1,0.0471,-0.682300084905579,-0.135097861285489,0.773182300706877,-0.589953072385848,-0.57329844539567,1.55556110633142,-0.0559807529117377,-0.875521587668297
"248","SKN",33,2,33.8,13.8,4.2,7.1,0.0471,-0.0713719247429153,0.250488000734405,-0.0303558870947272,0.408087839545098,-0.57329844539567,0.140843042772126,-0.0559807529117377,-0.875521587668297
"249","SKN",33,3,33.8,13.8,4.2,7.1,0.0471,-0.420473730550116,-0.135097861285489,-0.191063524655048,-0.589953072385848,0.578417181515274,1.83850471904328,-0.0559807529117377,-0.156571378816593
"250","SKN",34,1,25.9,12.5,4,6.9,0.0455,0.539556235419873,-0.649212343978681,-0.51247879977569,1.40612875147604,-0.57329844539567,0.423786655483985,-0.0559807529117377,-0.156571378816593
"251","SKN",34,2,25.9,12.5,4,6.9,0.0455,0.539556235419873,-0.520683723305383,-0.351771162215369,-0.589953072385848,-0.57329844539567,0.140843042772126,-0.0559807529117377,-0.156571378816593
"252","SKN",34,3,25.9,12.5,4,6.9,0.0455,0.626831686871735,-0.263626481958787,-1.15530935001697,1.40612875147604,0.578417181515274,-0.425044182651593,1.14360680948264,1.28132903888681
"253","SKN",35,1,19.6,11.7,3.8,6,0.0368,0.015903526708947,-0.00656924061219031,-0.351771162215369,-0.589953072385848,-0.57329844539567,1.55556110633142,-0.0559807529117377,-0.875521587668297
"254","SKN",35,2,19.6,11.7,3.8,6,0.0368,0.626831686871735,-0.135097861285489,-0.833894074896331,0.408087839545098,-0.57329844539567,-0.707987795363453,-0.0559807529117377,0.56237883003511
"255","SKN",35,3,19.6,11.7,3.8,6,0.0368,-0.0713719247429153,0.6360738627543,-0.994601712456652,1.40612875147604,-0.57329844539567,0.140843042772126,1.14360680948264,-0.156571378816593
"256","SKN",36,1,27.5,13,4,7,0.0443,0.888658041227074,-0.392155102632085,-0.673186437336011,-0.589953072385848,0.578417181515274,-0.142100569939733,-0.0559807529117377,-0.875521587668297
"257","SKN",36,2,27.5,13,4,7,0.0443,0.27772988106441,0.121959380061107,0.130351750465594,-0.589953072385848,-0.57329844539567,-0.707987795363453,-0.0559807529117377,-0.156571378816593
"258","SKN",36,3,27.5,13,4,7,0.0443,0.103178978160809,-0.00656924061219031,-0.833894074896331,-0.589953072385848,0.578417181515274,0.706730268195845,1.14360680948264,-0.156571378816593
"259","SKN",37,1,21.9,12.5,3.8,6.8,0.0391,0.626831686871735,-0.649212343978681,0.612474663146556,-0.589953072385848,-0.57329844539567,-0.990931408075312,-1.25556831530612,-0.156571378816593
"260","SKN",37,2,21.9,12.5,3.8,6.8,0.0391,0.801382589775336,-0.263626481958787,-0.994601712456652,0.408087839545098,-0.57329844539567,-0.707987795363453,-0.0559807529117377,0.56237883003511
"261","SKN",37,3,21.9,12.5,3.8,6.8,0.0391,-0.769575536357442,-0.135097861285489,0.130351750465594,1.40612875147604,2.88184843533716,0.423786655483985,1.14360680948264,2.00027924773852
"262","SKN",38,1,24.8,12.6,4.1,7.1,0.0457,-0.0713719247429153,-0.520683723305383,0.612474663146556,0.408087839545098,0.578417181515274,0.140843042772126,1.14360680948264,-0.156571378816593
"263","SKN",38,2,24.8,12.6,4.1,7.1,0.0457,0.103178978160809,-0.135097861285489,0.451767025586235,-1.58799398431679,-0.57329844539567,-0.425044182651593,-0.0559807529117377,0.56237883003511
"264","SKN",38,3,24.8,12.6,4.1,7.1,0.0457,0.539556235419873,0.507545242081002,-1.15530935001697,1.40612875147604,0.578417181515274,-1.55681863349903,-0.0559807529117377,0.56237883003511
"265","SKN",39,1,22.8,12.2,3.7,6.2,0.0363,0.539556235419873,0.121959380061107,-0.51247879977569,-0.589953072385848,-0.57329844539567,-0.990931408075312,-0.0559807529117377,-0.875521587668297
"266","SKN",39,2,22.8,12.2,3.7,6.2,0.0363,0.190454429612548,-0.135097861285489,0.130351750465594,0.408087839545098,-0.57329844539567,-0.707987795363453,-0.0559807529117377,0.56237883003511
"267","SKN",39,3,22.8,12.2,3.7,6.2,0.0363,0.190454429612548,0.764602483427598,-1.31601698757729,-0.589953072385848,0.578417181515274,-0.142100569939733,-0.0559807529117377,0.56237883003511
"268","SKN",40,1,23.2,11.6,3.7,6.1,0.0373,0.714107138323473,-1.67744130936507,0.451767025586235,0.408087839545098,-0.57329844539567,0.706730268195845,-0.0559807529117377,0.56237883003511
"269","SKN",40,2,23.2,11.6,3.7,6.1,0.0373,0.975933492678936,-1.16332682667187,0.130351750465594,0.408087839545098,-0.57329844539567,-0.990931408075312,-0.0559807529117377,0.56237883003511
"270","SKN",40,3,23.2,11.6,3.7,6.1,0.0373,0.452280783968011,-0.649212343978681,-0.994601712456652,3.40221057533793,0.578417181515274,-0.707987795363453,1.14360680948264,2.71922945659022
"271","SNI",1,1,17,11.1,3.5,6,0.0299,-2.42780911394196,3.84928937958675,0.612474663146556,-0.589953072385848,-0.57329844539567,-0.707987795363453,-1.25556831530612,-0.875521587668297
"272","SNI",1,2,17,11.1,3.5,6,0.0299,-0.682300084905579,1.53577420746739,-0.833894074896331,0.408087839545098,-0.57329844539567,-0.142100569939733,1.14360680948264,0.56237883003511
"273","SNI",1,3,17,11.1,3.5,6,0.0299,-1.64233005087557,3.07811765554696,-0.994601712456652,0.408087839545098,0.578417181515274,-0.425044182651593,1.14360680948264,2.00027924773852
