Place,Fish,Rep,Fish.wt,Fish.lt,Oto.wd,Oto.lt,Oto.wt,Ca,Sr,Ba,Mn,Zn,K,Pb,Cu
PKN,24,1,35.40,12.20,3.40,6.60,0.0345,99.26,0.45,0.08,0.01,0.00,0.17,0.00,0.02
PKN,24,2,35.40,12.20,3.40,6.60,0.0345,99.25,0.50,0.04,0.02,0.00,0.15,0.01,0.03
PKN,24,3,35.40,12.20,3.40,6.60,0.0345,99.21,0.51,0.02,0.03,0.04,0.14,0.01,0.05
PKN,25,1,41.60,13.70,4.00,7.20,0.0538,99.33,0.38,0.08,0.01,0.00,0.17,0.00,0.02
PKN,25,2,41.60,13.70,4.00,7.20,0.0538,99.23,0.44,0.13,0.01,0.00,0.18,0.00,0.01
PKN,25,3,41.60,13.70,4.00,7.20,0.0538,99.19,0.50,0.03,0.03,0.01,0.19,0.01,0.04
PKN,26,1,41.50,14.80,4.20,6.80,0.0485,99.28,0.34,0.13,0.02,0.00,0.19,0.00,0.04
PKN,26,2,41.50,14.80,4.20,6.80,0.0485,99.42,0.33,0.07,0.01,0.00,0.15,0.00,0.03
PKN,26,3,41.50,14.80,4.20,6.80,0.0485,99.29,0.35,0.14,0.00,0.01,0.19,0.00,0.01
PKN,27,1,41.70,14.90,3.80,7.50,0.0616,99.13,0.49,0.18,0.01,0.00,0.21,-0.02,0.00
PKN,27,2,41.70,14.90,3.80,7.50,0.0616,99.31,0.48,0.05,0.00,0.00,0.15,-0.01,0.01
PKN,27,3,41.70,14.90,3.80,7.50,0.0616,99.28,0.51,-0.01,0.02,0.01,0.13,0.02,0.04
PKN,28,1,53.00,16.10,4.30,8.10,0.0706,99.23,0.44,0.13,0.02,0.00,0.17,0.00,0.01
PKN,28,2,53.00,16.10,4.30,8.10,0.0706,99.30,0.42,0.10,0.01,0.00,0.16,0.00,0.02
PKN,28,3,53.00,16.10,4.30,8.10,0.0706,99.07,0.51,0.17,0.02,0.01,0.22,0.00,0.01
PKN,29,1,38.70,14.10,4.40,7.40,0.0607,99.15,0.50,0.17,0.01,0.00,0.18,-0.01,0.00
PKN,29,2,38.70,14.10,4.40,7.40,0.0607,99.36,0.43,0.05,0.01,0.00,0.14,0.00,0.01
PKN,29,3,38.70,14.10,4.40,7.40,0.0607,99.15,0.49,0.12,0.03,0.01,0.20,-0.01,0.03
PKN,30,1,28.80,13.00,4.00,6.70,0.0409,99.20,0.47,0.12,0.02,0.00,0.18,0.00,0.01
PKN,30,2,28.80,13.00,4.00,6.70,0.0409,99.31,0.45,0.04,0.02,0.01,0.16,0.00,0.02
PKN,30,3,28.80,13.00,4.00,6.70,0.0409,99.17,0.45,0.14,0.03,0.01,0.17,0.00,0.03
SKN,11,1,23.70,12.50,4.20,6.70,0.0454,99.23,0.44,0.12,0.02,0.00,0.18,0.00,0.02
SKN,11,2,23.70,12.50,4.20,6.70,0.0454,99.25,0.46,0.09,0.02,0.00,0.15,0.00,0.02
SKN,11,3,23.70,12.50,4.20,6.70,0.0454,99.22,0.49,0.03,0.03,0.01,0.18,0.01,0.04
SKN,12,1,28.10,13.30,4.20,7.20,0.0450,99.34,0.43,0.08,0.01,0.00,0.12,0.00,0.01
SKN,12,2,28.10,13.30,4.20,7.20,0.0450,99.31,0.48,0.06,0.01,0.01,0.14,0.00,0.01
SKN,12,3,28.10,13.30,4.20,7.20,0.0450,99.17,0.51,0.08,0.02,0.01,0.19,0.00,0.02
SKN,13,1,24.70,12.90,4.10,6.90,0.0421,99.32,0.43,0.07,0.01,0.00,0.15,0.00,0.02
SKN,13,2,24.70,12.90,4.10,6.90,0.0421,99.24,0.46,0.09,0.01,0.00,0.15,0.00,0.04
SKN,13,3,24.70,12.90,4.10,6.90,0.0421,99.14,0.45,0.14,0.03,0.01,0.18,0.00,0.04
SKN,14,1,19.50,11.60,3.90,6.70,0.0409,99.24,0.47,0.07,0.02,0.00,0.17,0.00,0.02
