Month,Batch,Distance,No,Length,Width
Jan,35,130,7,1.7,1.4
Jan,36,70,1,1.5,1
Jan,36,70,2,1,1.3
Jan,36,70,3,2.5,2.5
Jan,36,100,1,4,3
Jan,36,100,2,3.4,2.7
Jan,36,100,3,4.4,2.9
Jan,36,100,4,2.9,2.4
Jan,36,100,5,1.6,1.1
Jan,36,100,6,1.2,1.1
Jan,36,100,7,2.2,2.1
Jan,36,130,1,1.6,1.3
Jan,36,130,2,1,1.1
Jan,36,130,3,1.1,0.9
Jan,36,130,4,1.1,0.9
Jan,36,130,5,1.5,1.1
Jan,37,40,1,0.5,1
Jan,37,70,1,2.5,3
Jan,37,70,2,1.5,1.5
Jan,37,70,3,1,0.8
Jan,37,70,4,1,1.5
Jan,37,70,5,1,1.5
Jan,37,70,6,0.5,0.8
Jan,37,70,7,1,1
Jan,37,130,1,0.6,0.5
Jan,37,130,2,4,3.4
Jan,37,130,3,1.3,1
Jan,38,40,1,1,1.3
Jan,38,100,1,2.8,2.9
Jan,38,100,2,2.5,2.3
Jan,38,100,3,3,1.9
Jan,38,100,4,2.5,1.2
Jan,38,100,5,2.1,2.2
Jan,38,100,6,0.9,0.8
Jan,38,100,7,2.4,1.3
Jan,38,130,1,1.6,1.7
Jan,38,130,2,1.4,1.3
Jan,38,130,3,1.4,1.1
Jan,38,130,4,1,0.9
Jan,38,130,5,1.2,0.8
Jan,38,130,6,1,0.9
Jan,38,130,7,1,0.8
Jan,38,130,8,1.1,1
Jan,39,70,1,1.5,1.5
Jan,39,70,2,1,1
Jan,39,100,1,4.5,4
Jan,39,100,2,4.4,4.5
Jan,39,100,3,3,3.3
Jan,39,100,4,3.5,2.5
Jan,39,130,1,1.3,1.5
Jan,39,130,2,1,0.9
Jan,39,130,3,0.8,0.7
Jan,39,130,4,1.5,1.1
Jan,39,130,5,1.1,1.2
Jan,39,130,6,1.5,1.4
Jan,39,130,7,1.6,1
Jan,40,40,1,1.1,1.2
Jan,40,40,2,1.5,2
Jan,40,40,3,1.4,1.2
Jan,40,70,1,1.5,1
Jan,40,70,2,1,1.3
Jan,40,70,3,1.5,1
Jan,40,70,4,2.2,2
Jan,40,100,1,1.3,1.2
Jan,40,100,2,1.5,1.4
Jan,40,100,3,1.1,1.3
Jan,40,100,4,1.5,1.6
Jan,40,100,5,1.1,1
Jan,40,100,6,1.4,0.9
Jan,40,100,7,1,0.6
Jan,40,130,1,1.5,1.6
Jan,40,130,2,2,1.9
